,Period,HomeCountry,Commune,Gender,Population
32508,2023Q4,Peru,Aarhus,Men,28
32509,2023Q4,Peru,Aarhus,Women,37
32510,2023Q4,Peru,Herning,Men,5
32511,2023Q4,Peru,Herning,Women,8
32512,2023Q4,Peru,Holstebro,Men,0
32513,2023Q4,Peru,Holstebro,Women,2
32514,2023Q4,Peru,Ikast-Brande,Men,1
32515,2023Q4,Peru,Ikast-Brande,Women,4
32516,2023Q4,Peru,Lemvig,Men,1
32517,2023Q4,Peru,Lemvig,Women,2
32518,2023Q4,Peru,Ringkøbing-Skjern,Men,1
32519,2023Q4,Peru,Ringkøbing-Skjern,Women,3
32520,2023Q4,Peru,Skive,Men,1
32521,2023Q4,Peru,Skive,Women,1
32522,2023Q4,Peru,Struer,Men,0
32523,2023Q4,Peru,Struer,Women,3
32524,2023Q4,Peru,Viborg,Men,5
32525,2023Q4,Peru,Viborg,Women,13
32526,2023Q4,Peru,Region Nordjylland,Men,17
32527,2023Q4,Peru,Region Nordjylland,Women,58
32528,2023Q4,Peru,Brønderslev,Men,2
32529,2023Q4,Peru,Brønderslev,Women,6
32530,2023Q4,Peru,Frederikshavn,Men,2
32531,2023Q4,Peru,Frederikshavn,Women,11
32532,2023Q4,Peru,Hjørring,Men,1
32533,2023Q4,Peru,Hjørring,Women,3
32534,2023Q4,Peru,Jammerbugt,Men,0
32535,2023Q4,Peru,Jammerbugt,Women,1
32536,2023Q4,Peru,Læsø,Men,0
32537,2023Q4,Peru,Læsø,Women,0
32538,2023Q4,Peru,Mariagerfjord,Men,0
32539,2023Q4,Peru,Mariagerfjord,Women,0
32540,2023Q4,Peru,Morsø,Men,0
32541,2023Q4,Peru,Morsø,Women,2
32542,2023Q4,Peru,Rebild,Men,0
32543,2023Q4,Peru,Rebild,Women,1
32544,2023Q4,Peru,Thisted,Men,0
32545,2023Q4,Peru,Thisted,Women,6
32546,2023Q4,Peru,Vesthimmerlands,Men,0
32547,2023Q4,Peru,Vesthimmerlands,Women,2
32548,2023Q4,Peru,Aalborg,Men,12
32549,2023Q4,Peru,Aalborg,Women,26
32550,2023Q4,Puerto Rico,All Denmark,Men,0
32551,2023Q4,Puerto Rico,All Denmark,Women,0
32552,2023Q4,Puerto Rico,Region Hovedstaden,Men,0
32553,2023Q4,Puerto Rico,Region Hovedstaden,Women,0
32554,2023Q4,Puerto Rico,Copenhagen,Men,0
32555,2023Q4,Puerto Rico,Copenhagen,Women,0
32556,2023Q4,Puerto Rico,Frederiksberg,Men,0
32557,2023Q4,Puerto Rico,Frederiksberg,Women,0
32558,2023Q4,Puerto Rico,Dragør,Men,0
32559,2023Q4,Puerto Rico,Dragør,Women,0
32560,2023Q4,Puerto Rico,Tårnby,Men,0
32561,2023Q4,Puerto Rico,Tårnby,Women,0
32562,2023Q4,Puerto Rico,Albertslund,Men,0
32563,2023Q4,Puerto Rico,Albertslund,Women,0
32564,2023Q4,Puerto Rico,Ballerup,Men,0
32565,2023Q4,Puerto Rico,Ballerup,Women,0
32566,2023Q4,Puerto Rico,Brøndby,Men,0
32567,2023Q4,Puerto Rico,Brøndby,Women,0
32568,2023Q4,Puerto Rico,Gentofte,Men,0
32569,2023Q4,Puerto Rico,Gentofte,Women,0
32570,2023Q4,Puerto Rico,Gladsaxe,Men,0
32571,2023Q4,Puerto Rico,Gladsaxe,Women,0
32572,2023Q4,Puerto Rico,Glostrup,Men,0
32573,2023Q4,Puerto Rico,Glostrup,Women,0
32574,2023Q4,Puerto Rico,Herlev,Men,0
32575,2023Q4,Puerto Rico,Herlev,Women,0
32576,2023Q4,Puerto Rico,Hvidovre,Men,0
32577,2023Q4,Puerto Rico,Hvidovre,Women,0
32578,2023Q4,Puerto Rico,Høje-Taastrup,Men,0
32579,2023Q4,Puerto Rico,Høje-Taastrup,Women,0
32580,2023Q4,Puerto Rico,Ishøj,Men,0
32581,2023Q4,Puerto Rico,Ishøj,Women,0
32582,2023Q4,Puerto Rico,Lyngby-Taarbæk,Men,0
32583,2023Q4,Puerto Rico,Lyngby-Taarbæk,Women,0
32584,2023Q4,Puerto Rico,Rødovre,Men,0
32585,2023Q4,Puerto Rico,Rødovre,Women,0
32586,2023Q4,Puerto Rico,Vallensbæk,Men,0
32587,2023Q4,Puerto Rico,Vallensbæk,Women,0
32588,2023Q4,Puerto Rico,Allerød,Men,0
32589,2023Q4,Puerto Rico,Allerød,Women,0
32590,2023Q4,Puerto Rico,Egedal,Men,0
32591,2023Q4,Puerto Rico,Egedal,Women,0
32592,2023Q4,Puerto Rico,Fredensborg,Men,0
32593,2023Q4,Puerto Rico,Fredensborg,Women,0
32594,2023Q4,Puerto Rico,Frederikssund,Men,0
32595,2023Q4,Puerto Rico,Frederikssund,Women,0
32596,2023Q4,Puerto Rico,Furesø,Men,0
32597,2023Q4,Puerto Rico,Furesø,Women,0
32598,2023Q4,Puerto Rico,Gribskov,Men,0
32599,2023Q4,Puerto Rico,Gribskov,Women,0
32600,2023Q4,Puerto Rico,Halsnæs,Men,0
32601,2023Q4,Puerto Rico,Halsnæs,Women,0
32602,2023Q4,Puerto Rico,Helsingør,Men,0
32603,2023Q4,Puerto Rico,Helsingør,Women,0
32604,2023Q4,Puerto Rico,Hillerød,Men,0
32605,2023Q4,Puerto Rico,Hillerød,Women,0
32606,2023Q4,Puerto Rico,Hørsholm,Men,0
32607,2023Q4,Puerto Rico,Hørsholm,Women,0
32608,2023Q4,Puerto Rico,Rudersdal,Men,0
32609,2023Q4,Puerto Rico,Rudersdal,Women,0
32610,2023Q4,Puerto Rico,Bornholm,Men,0
32611,2023Q4,Puerto Rico,Bornholm,Women,0
32612,2023Q4,Puerto Rico,Christiansø,Men,0
32613,2023Q4,Puerto Rico,Christiansø,Women,0
32614,2023Q4,Puerto Rico,Region Sjælland,Men,0
32615,2023Q4,Puerto Rico,Region Sjælland,Women,0
32616,2023Q4,Puerto Rico,Greve,Men,0
32617,2023Q4,Puerto Rico,Greve,Women,0
32618,2023Q4,Puerto Rico,Køge,Men,0
32619,2023Q4,Puerto Rico,Køge,Women,0
32620,2023Q4,Puerto Rico,Lejre,Men,0
32621,2023Q4,Puerto Rico,Lejre,Women,0
32622,2023Q4,Puerto Rico,Roskilde,Men,0
32623,2023Q4,Puerto Rico,Roskilde,Women,0
32624,2023Q4,Puerto Rico,Solrød,Men,0
32625,2023Q4,Puerto Rico,Solrød,Women,0
32626,2023Q4,Puerto Rico,Faxe,Men,0
32627,2023Q4,Puerto Rico,Faxe,Women,0
32628,2023Q4,Puerto Rico,Guldborgsund,Men,0
32629,2023Q4,Puerto Rico,Guldborgsund,Women,0
32630,2023Q4,Puerto Rico,Holbæk,Men,0
32631,2023Q4,Puerto Rico,Holbæk,Women,0
32632,2023Q4,Puerto Rico,Kalundborg,Men,0
32633,2023Q4,Puerto Rico,Kalundborg,Women,0
32634,2023Q4,Puerto Rico,Lolland,Men,0
32635,2023Q4,Puerto Rico,Lolland,Women,0
32636,2023Q4,Puerto Rico,Næstved,Men,0
32637,2023Q4,Puerto Rico,Næstved,Women,0
32638,2023Q4,Puerto Rico,Odsherred,Men,0
32639,2023Q4,Puerto Rico,Odsherred,Women,0
32640,2023Q4,Puerto Rico,Ringsted,Men,0
32641,2023Q4,Puerto Rico,Ringsted,Women,0
32642,2023Q4,Puerto Rico,Slagelse,Men,0
32643,2023Q4,Puerto Rico,Slagelse,Women,0
32644,2023Q4,Puerto Rico,Sorø,Men,0
32645,2023Q4,Puerto Rico,Sorø,Women,0
32646,2023Q4,Puerto Rico,Stevns,Men,0
32647,2023Q4,Puerto Rico,Stevns,Women,0
32648,2023Q4,Puerto Rico,Vordingborg,Men,0
32649,2023Q4,Puerto Rico,Vordingborg,Women,0
32650,2023Q4,Puerto Rico,Region Syddanmark,Men,0
32651,2023Q4,Puerto Rico,Region Syddanmark,Women,0
32652,2023Q4,Puerto Rico,Assens,Men,0
32653,2023Q4,Puerto Rico,Assens,Women,0
32654,2023Q4,Puerto Rico,Faaborg-Midtfyn,Men,0
32655,2023Q4,Puerto Rico,Faaborg-Midtfyn,Women,0
32656,2023Q4,Puerto Rico,Kerteminde,Men,0
32657,2023Q4,Puerto Rico,Kerteminde,Women,0
32658,2023Q4,Puerto Rico,Langeland,Men,0
32659,2023Q4,Puerto Rico,Langeland,Women,0
32660,2023Q4,Puerto Rico,Middelfart,Men,0
32661,2023Q4,Puerto Rico,Middelfart,Women,0
32662,2023Q4,Puerto Rico,Nordfyns,Men,0
32663,2023Q4,Puerto Rico,Nordfyns,Women,0
32664,2023Q4,Puerto Rico,Nyborg,Men,0
32665,2023Q4,Puerto Rico,Nyborg,Women,0
32666,2023Q4,Puerto Rico,Odense,Men,0
32667,2023Q4,Puerto Rico,Odense,Women,0
32668,2023Q4,Puerto Rico,Svendborg,Men,0
32669,2023Q4,Puerto Rico,Svendborg,Women,0
32670,2023Q4,Puerto Rico,Ærø,Men,0
32671,2023Q4,Puerto Rico,Ærø,Women,0
32672,2023Q4,Puerto Rico,Billund,Men,0
32673,2023Q4,Puerto Rico,Billund,Women,0
32674,2023Q4,Puerto Rico,Esbjerg,Men,0
32675,2023Q4,Puerto Rico,Esbjerg,Women,0
32676,2023Q4,Puerto Rico,Fanø,Men,0
32677,2023Q4,Puerto Rico,Fanø,Women,0
32678,2023Q4,Puerto Rico,Fredericia,Men,0
32679,2023Q4,Puerto Rico,Fredericia,Women,0
32680,2023Q4,Puerto Rico,Haderslev,Men,0
32681,2023Q4,Puerto Rico,Haderslev,Women,0
32682,2023Q4,Puerto Rico,Kolding,Men,0
32683,2023Q4,Puerto Rico,Kolding,Women,0
32684,2023Q4,Puerto Rico,Sønderborg,Men,0
32685,2023Q4,Puerto Rico,Sønderborg,Women,0
32686,2023Q4,Puerto Rico,Tønder,Men,0
32687,2023Q4,Puerto Rico,Tønder,Women,0
32688,2023Q4,Puerto Rico,Varde,Men,0
32689,2023Q4,Puerto Rico,Varde,Women,0
32690,2023Q4,Puerto Rico,Vejen,Men,0
32691,2023Q4,Puerto Rico,Vejen,Women,0
32692,2023Q4,Puerto Rico,Vejle,Men,0
32693,2023Q4,Puerto Rico,Vejle,Women,0
32694,2023Q4,Puerto Rico,Aabenraa,Men,0
32695,2023Q4,Puerto Rico,Aabenraa,Women,0
32696,2023Q4,Puerto Rico,Region Midtjylland,Men,0
32697,2023Q4,Puerto Rico,Region Midtjylland,Women,0
32698,2023Q4,Puerto Rico,Favrskov,Men,0
32699,2023Q4,Puerto Rico,Favrskov,Women,0
32700,2023Q4,Puerto Rico,Hedensted,Men,0
32701,2023Q4,Puerto Rico,Hedensted,Women,0
32702,2023Q4,Puerto Rico,Horsens,Men,0
32703,2023Q4,Puerto Rico,Horsens,Women,0
32704,2023Q4,Puerto Rico,Norddjurs,Men,0
32705,2023Q4,Puerto Rico,Norddjurs,Women,0
32706,2023Q4,Puerto Rico,Odder,Men,0
32707,2023Q4,Puerto Rico,Odder,Women,0
32708,2023Q4,Puerto Rico,Randers,Men,0
32709,2023Q4,Puerto Rico,Randers,Women,0
32710,2023Q4,Puerto Rico,Samsø,Men,0
32711,2023Q4,Puerto Rico,Samsø,Women,0
32712,2023Q4,Puerto Rico,Silkeborg,Men,0
32713,2023Q4,Puerto Rico,Silkeborg,Women,0
32714,2023Q4,Puerto Rico,Skanderborg,Men,0
32715,2023Q4,Puerto Rico,Skanderborg,Women,0
32716,2023Q4,Puerto Rico,Syddjurs,Men,0
32717,2023Q4,Puerto Rico,Syddjurs,Women,0
32718,2023Q4,Puerto Rico,Aarhus,Men,0
32719,2023Q4,Puerto Rico,Aarhus,Women,0
32720,2023Q4,Puerto Rico,Herning,Men,0
32721,2023Q4,Puerto Rico,Herning,Women,0
32722,2023Q4,Puerto Rico,Holstebro,Men,0
32723,2023Q4,Puerto Rico,Holstebro,Women,0
32724,2023Q4,Puerto Rico,Ikast-Brande,Men,0
32725,2023Q4,Puerto Rico,Ikast-Brande,Women,0
32726,2023Q4,Puerto Rico,Lemvig,Men,0
32727,2023Q4,Puerto Rico,Lemvig,Women,0
32728,2023Q4,Puerto Rico,Ringkøbing-Skjern,Men,0
32729,2023Q4,Puerto Rico,Ringkøbing-Skjern,Women,0
32730,2023Q4,Puerto Rico,Skive,Men,0
32731,2023Q4,Puerto Rico,Skive,Women,0
32732,2023Q4,Puerto Rico,Struer,Men,0
32733,2023Q4,Puerto Rico,Struer,Women,0
32734,2023Q4,Puerto Rico,Viborg,Men,0
32735,2023Q4,Puerto Rico,Viborg,Women,0
32736,2023Q4,Puerto Rico,Region Nordjylland,Men,0
32737,2023Q4,Puerto Rico,Region Nordjylland,Women,0
32738,2023Q4,Puerto Rico,Brønderslev,Men,0
32739,2023Q4,Puerto Rico,Brønderslev,Women,0
32740,2023Q4,Puerto Rico,Frederikshavn,Men,0
32741,2023Q4,Puerto Rico,Frederikshavn,Women,0
32742,2023Q4,Puerto Rico,Hjørring,Men,0
32743,2023Q4,Puerto Rico,Hjørring,Women,0
32744,2023Q4,Puerto Rico,Jammerbugt,Men,0
32745,2023Q4,Puerto Rico,Jammerbugt,Women,0
32746,2023Q4,Puerto Rico,Læsø,Men,0
32747,2023Q4,Puerto Rico,Læsø,Women,0
32748,2023Q4,Puerto Rico,Mariagerfjord,Men,0
32749,2023Q4,Puerto Rico,Mariagerfjord,Women,0
32750,2023Q4,Puerto Rico,Morsø,Men,0
32751,2023Q4,Puerto Rico,Morsø,Women,0
32752,2023Q4,Puerto Rico,Rebild,Men,0
32753,2023Q4,Puerto Rico,Rebild,Women,0
32754,2023Q4,Puerto Rico,Thisted,Men,0
32755,2023Q4,Puerto Rico,Thisted,Women,0
32756,2023Q4,Puerto Rico,Vesthimmerlands,Men,0
32757,2023Q4,Puerto Rico,Vesthimmerlands,Women,0
32758,2023Q4,Puerto Rico,Aalborg,Men,0
32759,2023Q4,Puerto Rico,Aalborg,Women,0
32760,2023Q4,Saint Kitts and Nevis,All Denmark,Men,1
32761,2023Q4,Saint Kitts and Nevis,All Denmark,Women,2
32762,2023Q4,Saint Kitts and Nevis,Region Hovedstaden,Men,0
32763,2023Q4,Saint Kitts and Nevis,Region Hovedstaden,Women,0
32764,2023Q4,Saint Kitts and Nevis,Copenhagen,Men,0
32765,2023Q4,Saint Kitts and Nevis,Copenhagen,Women,0
32766,2023Q4,Saint Kitts and Nevis,Frederiksberg,Men,0
32767,2023Q4,Saint Kitts and Nevis,Frederiksberg,Women,0
32768,2023Q4,Saint Kitts and Nevis,Dragør,Men,0
32769,2023Q4,Saint Kitts and Nevis,Dragør,Women,0
32770,2023Q4,Saint Kitts and Nevis,Tårnby,Men,0
32771,2023Q4,Saint Kitts and Nevis,Tårnby,Women,0
32772,2023Q4,Saint Kitts and Nevis,Albertslund,Men,0
32773,2023Q4,Saint Kitts and Nevis,Albertslund,Women,0
32774,2023Q4,Saint Kitts and Nevis,Ballerup,Men,0
32775,2023Q4,Saint Kitts and Nevis,Ballerup,Women,0
32776,2023Q4,Saint Kitts and Nevis,Brøndby,Men,0
32777,2023Q4,Saint Kitts and Nevis,Brøndby,Women,0
32778,2023Q4,Saint Kitts and Nevis,Gentofte,Men,0
32779,2023Q4,Saint Kitts and Nevis,Gentofte,Women,0
32780,2023Q4,Saint Kitts and Nevis,Gladsaxe,Men,0
32781,2023Q4,Saint Kitts and Nevis,Gladsaxe,Women,0
32782,2023Q4,Saint Kitts and Nevis,Glostrup,Men,0
32783,2023Q4,Saint Kitts and Nevis,Glostrup,Women,0
32784,2023Q4,Saint Kitts and Nevis,Herlev,Men,0
32785,2023Q4,Saint Kitts and Nevis,Herlev,Women,0
32786,2023Q4,Saint Kitts and Nevis,Hvidovre,Men,0
32787,2023Q4,Saint Kitts and Nevis,Hvidovre,Women,0
32788,2023Q4,Saint Kitts and Nevis,Høje-Taastrup,Men,0
32789,2023Q4,Saint Kitts and Nevis,Høje-Taastrup,Women,0
32790,2023Q4,Saint Kitts and Nevis,Ishøj,Men,0
32791,2023Q4,Saint Kitts and Nevis,Ishøj,Women,0
32792,2023Q4,Saint Kitts and Nevis,Lyngby-Taarbæk,Men,0
32793,2023Q4,Saint Kitts and Nevis,Lyngby-Taarbæk,Women,0
32794,2023Q4,Saint Kitts and Nevis,Rødovre,Men,0
32795,2023Q4,Saint Kitts and Nevis,Rødovre,Women,0
32796,2023Q4,Saint Kitts and Nevis,Vallensbæk,Men,0
32797,2023Q4,Saint Kitts and Nevis,Vallensbæk,Women,0
32798,2023Q4,Saint Kitts and Nevis,Allerød,Men,0
32799,2023Q4,Saint Kitts and Nevis,Allerød,Women,0
32800,2023Q4,Saint Kitts and Nevis,Egedal,Men,0
32801,2023Q4,Saint Kitts and Nevis,Egedal,Women,0
32802,2023Q4,Saint Kitts and Nevis,Fredensborg,Men,0
32803,2023Q4,Saint Kitts and Nevis,Fredensborg,Women,0
32804,2023Q4,Saint Kitts and Nevis,Frederikssund,Men,0
32805,2023Q4,Saint Kitts and Nevis,Frederikssund,Women,0
32806,2023Q4,Saint Kitts and Nevis,Furesø,Men,0
32807,2023Q4,Saint Kitts and Nevis,Furesø,Women,0
32808,2023Q4,Saint Kitts and Nevis,Gribskov,Men,0
32809,2023Q4,Saint Kitts and Nevis,Gribskov,Women,0
32810,2023Q4,Saint Kitts and Nevis,Halsnæs,Men,0
32811,2023Q4,Saint Kitts and Nevis,Halsnæs,Women,0
32812,2023Q4,Saint Kitts and Nevis,Helsingør,Men,0
32813,2023Q4,Saint Kitts and Nevis,Helsingør,Women,0
32814,2023Q4,Saint Kitts and Nevis,Hillerød,Men,0
32815,2023Q4,Saint Kitts and Nevis,Hillerød,Women,0
32816,2023Q4,Saint Kitts and Nevis,Hørsholm,Men,0
32817,2023Q4,Saint Kitts and Nevis,Hørsholm,Women,0
32818,2023Q4,Saint Kitts and Nevis,Rudersdal,Men,0
32819,2023Q4,Saint Kitts and Nevis,Rudersdal,Women,0
32820,2023Q4,Saint Kitts and Nevis,Bornholm,Men,0
32821,2023Q4,Saint Kitts and Nevis,Bornholm,Women,0
32822,2023Q4,Saint Kitts and Nevis,Christiansø,Men,0
32823,2023Q4,Saint Kitts and Nevis,Christiansø,Women,0
32824,2023Q4,Saint Kitts and Nevis,Region Sjælland,Men,0
32825,2023Q4,Saint Kitts and Nevis,Region Sjælland,Women,0
32826,2023Q4,Saint Kitts and Nevis,Greve,Men,0
32827,2023Q4,Saint Kitts and Nevis,Greve,Women,0
32828,2023Q4,Saint Kitts and Nevis,Køge,Men,0
32829,2023Q4,Saint Kitts and Nevis,Køge,Women,0
32830,2023Q4,Saint Kitts and Nevis,Lejre,Men,0
32831,2023Q4,Saint Kitts and Nevis,Lejre,Women,0
32832,2023Q4,Saint Kitts and Nevis,Roskilde,Men,0
32833,2023Q4,Saint Kitts and Nevis,Roskilde,Women,0
32834,2023Q4,Saint Kitts and Nevis,Solrød,Men,0
32835,2023Q4,Saint Kitts and Nevis,Solrød,Women,0
32836,2023Q4,Saint Kitts and Nevis,Faxe,Men,0
32837,2023Q4,Saint Kitts and Nevis,Faxe,Women,0
32838,2023Q4,Saint Kitts and Nevis,Guldborgsund,Men,0
32839,2023Q4,Saint Kitts and Nevis,Guldborgsund,Women,0
32840,2023Q4,Saint Kitts and Nevis,Holbæk,Men,0
32841,2023Q4,Saint Kitts and Nevis,Holbæk,Women,0
32842,2023Q4,Saint Kitts and Nevis,Kalundborg,Men,0
32843,2023Q4,Saint Kitts and Nevis,Kalundborg,Women,0
32844,2023Q4,Saint Kitts and Nevis,Lolland,Men,0
32845,2023Q4,Saint Kitts and Nevis,Lolland,Women,0
32846,2023Q4,Saint Kitts and Nevis,Næstved,Men,0
32847,2023Q4,Saint Kitts and Nevis,Næstved,Women,0
32848,2023Q4,Saint Kitts and Nevis,Odsherred,Men,0
32849,2023Q4,Saint Kitts and Nevis,Odsherred,Women,0
32850,2023Q4,Saint Kitts and Nevis,Ringsted,Men,0
32851,2023Q4,Saint Kitts and Nevis,Ringsted,Women,0
32852,2023Q4,Saint Kitts and Nevis,Slagelse,Men,0
32853,2023Q4,Saint Kitts and Nevis,Slagelse,Women,0
32854,2023Q4,Saint Kitts and Nevis,Sorø,Men,0
32855,2023Q4,Saint Kitts and Nevis,Sorø,Women,0
32856,2023Q4,Saint Kitts and Nevis,Stevns,Men,0
32857,2023Q4,Saint Kitts and Nevis,Stevns,Women,0
32858,2023Q4,Saint Kitts and Nevis,Vordingborg,Men,0
32859,2023Q4,Saint Kitts and Nevis,Vordingborg,Women,0
32860,2023Q4,Saint Kitts and Nevis,Region Syddanmark,Men,0
32861,2023Q4,Saint Kitts and Nevis,Region Syddanmark,Women,1
32862,2023Q4,Saint Kitts and Nevis,Assens,Men,0
32863,2023Q4,Saint Kitts and Nevis,Assens,Women,0
32864,2023Q4,Saint Kitts and Nevis,Faaborg-Midtfyn,Men,0
32865,2023Q4,Saint Kitts and Nevis,Faaborg-Midtfyn,Women,0
32866,2023Q4,Saint Kitts and Nevis,Kerteminde,Men,0
32867,2023Q4,Saint Kitts and Nevis,Kerteminde,Women,0
32868,2023Q4,Saint Kitts and Nevis,Langeland,Men,0
32869,2023Q4,Saint Kitts and Nevis,Langeland,Women,0
32870,2023Q4,Saint Kitts and Nevis,Middelfart,Men,0
32871,2023Q4,Saint Kitts and Nevis,Middelfart,Women,0
32872,2023Q4,Saint Kitts and Nevis,Nordfyns,Men,0
32873,2023Q4,Saint Kitts and Nevis,Nordfyns,Women,0
32874,2023Q4,Saint Kitts and Nevis,Nyborg,Men,0
32875,2023Q4,Saint Kitts and Nevis,Nyborg,Women,0
32876,2023Q4,Saint Kitts and Nevis,Odense,Men,0
32877,2023Q4,Saint Kitts and Nevis,Odense,Women,1
32878,2023Q4,Saint Kitts and Nevis,Svendborg,Men,0
32879,2023Q4,Saint Kitts and Nevis,Svendborg,Women,0
32880,2023Q4,Saint Kitts and Nevis,Ærø,Men,0
32881,2023Q4,Saint Kitts and Nevis,Ærø,Women,0
32882,2023Q4,Saint Kitts and Nevis,Billund,Men,0
32883,2023Q4,Saint Kitts and Nevis,Billund,Women,0
32884,2023Q4,Saint Kitts and Nevis,Esbjerg,Men,0
32885,2023Q4,Saint Kitts and Nevis,Esbjerg,Women,0
32886,2023Q4,Saint Kitts and Nevis,Fanø,Men,0
32887,2023Q4,Saint Kitts and Nevis,Fanø,Women,0
32888,2023Q4,Saint Kitts and Nevis,Fredericia,Men,0
32889,2023Q4,Saint Kitts and Nevis,Fredericia,Women,0
32890,2023Q4,Saint Kitts and Nevis,Haderslev,Men,0
32891,2023Q4,Saint Kitts and Nevis,Haderslev,Women,0
32892,2023Q4,Saint Kitts and Nevis,Kolding,Men,0
32893,2023Q4,Saint Kitts and Nevis,Kolding,Women,0
32894,2023Q4,Saint Kitts and Nevis,Sønderborg,Men,0
32895,2023Q4,Saint Kitts and Nevis,Sønderborg,Women,0
32896,2023Q4,Saint Kitts and Nevis,Tønder,Men,0
32897,2023Q4,Saint Kitts and Nevis,Tønder,Women,0
32898,2023Q4,Saint Kitts and Nevis,Varde,Men,0
32899,2023Q4,Saint Kitts and Nevis,Varde,Women,0
32900,2023Q4,Saint Kitts and Nevis,Vejen,Men,0
32901,2023Q4,Saint Kitts and Nevis,Vejen,Women,0
32902,2023Q4,Saint Kitts and Nevis,Vejle,Men,0
32903,2023Q4,Saint Kitts and Nevis,Vejle,Women,0
32904,2023Q4,Saint Kitts and Nevis,Aabenraa,Men,0
32905,2023Q4,Saint Kitts and Nevis,Aabenraa,Women,0
32906,2023Q4,Saint Kitts and Nevis,Region Midtjylland,Men,0
32907,2023Q4,Saint Kitts and Nevis,Region Midtjylland,Women,1
32908,2023Q4,Saint Kitts and Nevis,Favrskov,Men,0
32909,2023Q4,Saint Kitts and Nevis,Favrskov,Women,0
32910,2023Q4,Saint Kitts and Nevis,Hedensted,Men,0
32911,2023Q4,Saint Kitts and Nevis,Hedensted,Women,0
32912,2023Q4,Saint Kitts and Nevis,Horsens,Men,0
32913,2023Q4,Saint Kitts and Nevis,Horsens,Women,0
32914,2023Q4,Saint Kitts and Nevis,Norddjurs,Men,0
32915,2023Q4,Saint Kitts and Nevis,Norddjurs,Women,0
32916,2023Q4,Saint Kitts and Nevis,Odder,Men,0
32917,2023Q4,Saint Kitts and Nevis,Odder,Women,1
32918,2023Q4,Saint Kitts and Nevis,Randers,Men,0
32919,2023Q4,Saint Kitts and Nevis,Randers,Women,0
32920,2023Q4,Saint Kitts and Nevis,Samsø,Men,0
32921,2023Q4,Saint Kitts and Nevis,Samsø,Women,0
32922,2023Q4,Saint Kitts and Nevis,Silkeborg,Men,0
32923,2023Q4,Saint Kitts and Nevis,Silkeborg,Women,0
32924,2023Q4,Saint Kitts and Nevis,Skanderborg,Men,0
32925,2023Q4,Saint Kitts and Nevis,Skanderborg,Women,0
32926,2023Q4,Saint Kitts and Nevis,Syddjurs,Men,0
32927,2023Q4,Saint Kitts and Nevis,Syddjurs,Women,0
32928,2023Q4,Saint Kitts and Nevis,Aarhus,Men,0
32929,2023Q4,Saint Kitts and Nevis,Aarhus,Women,0
32930,2023Q4,Saint Kitts and Nevis,Herning,Men,0
32931,2023Q4,Saint Kitts and Nevis,Herning,Women,0
32932,2023Q4,Saint Kitts and Nevis,Holstebro,Men,0
32933,2023Q4,Saint Kitts and Nevis,Holstebro,Women,0
32934,2023Q4,Saint Kitts and Nevis,Ikast-Brande,Men,0
32935,2023Q4,Saint Kitts and Nevis,Ikast-Brande,Women,0
32936,2023Q4,Saint Kitts and Nevis,Lemvig,Men,0
32937,2023Q4,Saint Kitts and Nevis,Lemvig,Women,0
32938,2023Q4,Saint Kitts and Nevis,Ringkøbing-Skjern,Men,0
32939,2023Q4,Saint Kitts and Nevis,Ringkøbing-Skjern,Women,0
32940,2023Q4,Saint Kitts and Nevis,Skive,Men,0
32941,2023Q4,Saint Kitts and Nevis,Skive,Women,0
32942,2023Q4,Saint Kitts and Nevis,Struer,Men,0
32943,2023Q4,Saint Kitts and Nevis,Struer,Women,0
32944,2023Q4,Saint Kitts and Nevis,Viborg,Men,0
32945,2023Q4,Saint Kitts and Nevis,Viborg,Women,0
32946,2023Q4,Saint Kitts and Nevis,Region Nordjylland,Men,1
32947,2023Q4,Saint Kitts and Nevis,Region Nordjylland,Women,0
32948,2023Q4,Saint Kitts and Nevis,Brønderslev,Men,0
32949,2023Q4,Saint Kitts and Nevis,Brønderslev,Women,0
32950,2023Q4,Saint Kitts and Nevis,Frederikshavn,Men,0
32951,2023Q4,Saint Kitts and Nevis,Frederikshavn,Women,0
32952,2023Q4,Saint Kitts and Nevis,Hjørring,Men,0
32953,2023Q4,Saint Kitts and Nevis,Hjørring,Women,0
32954,2023Q4,Saint Kitts and Nevis,Jammerbugt,Men,0
32955,2023Q4,Saint Kitts and Nevis,Jammerbugt,Women,0
32956,2023Q4,Saint Kitts and Nevis,Læsø,Men,0
32957,2023Q4,Saint Kitts and Nevis,Læsø,Women,0
32958,2023Q4,Saint Kitts and Nevis,Mariagerfjord,Men,0
32959,2023Q4,Saint Kitts and Nevis,Mariagerfjord,Women,0
32960,2023Q4,Saint Kitts and Nevis,Morsø,Men,0
32961,2023Q4,Saint Kitts and Nevis,Morsø,Women,0
32962,2023Q4,Saint Kitts and Nevis,Rebild,Men,1
32963,2023Q4,Saint Kitts and Nevis,Rebild,Women,0
32964,2023Q4,Saint Kitts and Nevis,Thisted,Men,0
32965,2023Q4,Saint Kitts and Nevis,Thisted,Women,0
32966,2023Q4,Saint Kitts and Nevis,Vesthimmerlands,Men,0
32967,2023Q4,Saint Kitts and Nevis,Vesthimmerlands,Women,0
32968,2023Q4,Saint Kitts and Nevis,Aalborg,Men,0
32969,2023Q4,Saint Kitts and Nevis,Aalborg,Women,0
